LandProvince;SeaZone;x;y
tolosa;basque_coast;7588;5847;x
th_celestia_village;th_coiled_dragon_main_reef_sea;15297;5838;x
th_arstarchus_crater;th_crescent_moon_bay_sea;15768;5827;x
varna;gulf_varna;8963;5824;x
shili;peter_the_great_bay;13722;5820;x
bkwejanong;blue_point;3955;5836;x
macassa;niagara_basin;4063;5843;x
irondequoit;central_lake_ontario;4167;5845;x
ishikari;ishikari_bay;14124;5843;x
niagara;niagara_basin;4080;5840;x
beziers;coast_languedoc;7842;5842;x
yoichi;ishikari_bay;14111;5840;x
narbonne;coast_languedoc;7833;5830;x
th_flood_dragon_port;th_dragon_island_inland_sea;15353;5839;x
th_nawi_shrine;th_heaven_sent_dragon_rain_sea_west;15406;5815;x
anacopia;pitsunda_cape;9530;5836;x
th_blue_warp_gate;th_eientei_west_reflection_sea;15595;5835;x
metkovic;korcula_strait;8482;5830;x
th_dreamworld_weavers_island;th_eientei_west_reflection_sea;15594;5830;x
owashtanong;wind_point;3765;5825;x
th_law_breaching_forge;th_cloud_dragon_swirl;15157;5822;x
akkeshi;shirepa_cape;14286;5829;x
toulon;cape_sicie;7968;5830;x
th_genome_of_magic_sequencing_hall;th_temporal_axis_turbulence_sea;15089;5832;x
th_hinanawi_mansion;th_heaven_sent_dragon_rain_sea_west;15432;5814;x
tututni;nesika_beach;2028;5804;x
piombino;gulf_talamone;8179;5814;x
th_angel_dry_dock;th_makai_west_sea;14829;5816;x
th_elysion_makai;th_mirror_reflection_sea;14870;5828;x
th_coiled_dragon_mountain;th_dragon_island_inland_sea_west;15373;5831;x
squamscott;scantum_basin;4470;5824;x
slano;korcula_strait;8477;5822;x
sukhumi;sokhumi_bay;9557;5824;x
tulazi;sosura_cape;13647;5798;x
th_dreamworld_weavers_plain;th_eientei_west_reflection_sea;15596;5818;x
bastia;corsica_channel;8124;5811;x
iwanai;kamui_cape;14084;5825;x
kushiro;shirepa_cape;14270;5822;x
shiranuka;shirepa_cape;14248;5822;x
th_yumemi_molecular_biolab;th_temporal_axis_turbulence_sea;15063;5812;x
th_celestial_realm_tong_ming_ge;th_coiled_dragon_main_reef_sea;15291;5816;x
ascolipiceno;conero_cape;8326;5822;x
th_horn_fragon_village;th_heaven_sent_dragon_rain_sea_west;15389;5802;x
isoya;motta_cape;14079;5821;x
th_crescent_bay;th_crescent_moon_bay_sea;15763;5810;x
noya;rias_baixas;7278;5806;x
th_morbid_clock_tower;th_eientei_west_reflection_sea;15622;5816;x
atri;abruzzo_coast;8331;5806;x
th_lunar_rabbit_rebel_alliance_castle;th_crescent_moon_bay_sea;15749;5813;x
tiotoren;eastern_erie_basin;4095;5809;x
suttsu;motta_cape;14076;5816;x
th_golden_apple_orchard;th_mirror_reflection_sea;14896;5799;x
kenhionatatie;eastern_erie_basin;4050;5812;x
naumkeag;massachusetts_bay;4470;5798;x
perpignan;coast_languedoc;7831;5803;x
tokachi;tokachi_coast;14235;5810;x
kenosha;wind_point;3697;5807;x
temir_baba;caspian_sea28;10077;5768;x
th_yutu_rover_dormancy;th_eientei_west_reflection_sea;15629;5815;x
bedia;sokhumi_bay;9572;5811;x
th_second_kai_an_channel;th_scarlet_cloud_omen_sea;15563;5798;x
shimamaki;motta_cape;14062;5809;x
th_grave_for_amanosagume;th_crescent_moon_bay_sea;15738;5811;x
th_passage_floating_life_ferry;th_lunar_star_dweller_sea;15544;5810;x
th_plains_flowing_glow_river;th_eientei_west_reflection_sea;15625;5812;x
th_full_moon_top;th_crescent_moon_bay_sea;15739;5801;x
kalamazoo;wind_point;3765;5804;x
dubrovnik;bay_kotor;8524;5795;x
th_apollo_13_wreckage;th_eientei_west_reflection_sea;15611;5807;x
grosseto;gulf_talamone;8188;5789;x
anhialo;gulf_varna;8954;5803;x
boynak;caspian_sea12;9873;5798;x
th_floating_isles_zhe_xian_ju;th_coiled_dragon_main_reef_sea;15274;5804;x
th_grave_for_tamayorihime;th_crescent_moon_bay_sea;15739;5803;x
calvi;gulf_florent;8097;5805;x
th_armor_plating_press;th_cloud_dragon_swirl;15163;5804;x
th_heart_of_keystone;th_coiled_dragon_main_reef_sea;15297;5801;x
th_an_illusory_sea_junction;th_heaven_sent_dragon_rain_sea;15524;5807;x
waawiiyaataanong;lake_st_clair;3921;5796;x
kanagio;central_erie_basin;3996;5804;x
minaminakagawa;tokachi_coast;14228;5803;x
th_dreamwarden_outpost;th_scarlet_cloud_omen_sea;15513;5784;x
anaklia;sokhumi_bay;9581;5792;x
yuufutsu;uchiura_bay;14136;5801;x
pontevedra;rias_baixas;7287;5788;x
pitigliano;gulf_talamone;8199;5792;x
setana;motta_cape;14055;5796;x
toubui;tokachi_coast;14223;5796;x
yamakoshi;uchiura_bay;14079;5788;x
abuta;uchiura_bay;14094;5799;x
csantangelo;abruzzo_coast;8337;5797;x
shiraoi;uchiura_bay;14114;5788;x
kanentaweron;eastern_erie_basin;4074;5790;x
burgas;gulf_varna;8944;5796;x
th_coiled_dragon_peak_pool;th_heaven_dragon_island_sea;15364;5796;x
th_jade_dragon_mountain;th_heaven_dragon_island_sea;15352;5796;x
th_clown_port;th_crescent_moon_bay_sea;15734;5791;x
saru;shinodai_cape;14157;5792;x
th_himera_cultivation_vats;th_forbidden_zone_sea_west;15063;5770;x
th_center_of_heaven;th_heaven_dragon_island_sea;15324;5776;x
th_ping_heaven_door;th_heaven_dragon_island_sea;15338;5791;x
th_weaponized_theorem_case_files;th_cloud_dragon_swirl;15155;5785;x
th_first_kai_an_channel;th_scarlet_cloud_omen_sea;15502;5782;x
th_change_special_prison;th_eientei_west_reflection_sea;15600;5793;x
th_lunar_rabbit_barrack;th_eientei_west_reflection_sea;15614;5790;x
checagou;south_lake_michigan;3700;5770;x
chieti;abruzzo_coast;8342;5792;x
th_elysian_cargo_market;th_makai_west_sea;14834;5781;x
ganatchio;pelee_island;3931;5764;x
sozopol;stomoplo_bay;8960;5775;x
th_bay_tide_song_lighthouse;th_sage_sea_west_margin_sea;15772;5785;x
niikappu;shinodai_cape;14165;5788;x
th_an_passage_awakening_crevice;th_scarlet_cloud_omen_sea;15542;5775;x
shawmut;massachusetts_bay;4460;5784;x
kotor;bay_kotor;8543;5782;x
futoro;obana_cape;14043;5774;x
hiroo;tokachi_coast;14216;5783;x
sakiwasipi;south_lake_michigan;3755;5772;x
castellon_ampurias;gulf_of_roses;7837;5777;x
lanciano;abruzzo_coast;8349;5785;x
vico;corsica_west_coast;8083;5780;x
corneto;coast_lazio;8223;5778;x
th_princess_prison;th_eientei_west_reflection_sea;15613;5787;x
shizunai;shinodai_cape;14176;5779;x
onseong;sosura_cape;13628;5780;x
th_clown_village;th_crescent_moon_bay_sea;15735;5783;x
th_flower_land;th_heaven_sent_dragon_rain_sea_west;15407;5783;x
th_waning_moon_peninsula;th_crescent_moon_bay_sea;15736;5783;x
erie;eastern_erie_basin;4049;5775;x
patuxet;cape_cod_bay;4477;5761;x
tuy;mouth_douro;7285;5763;x
th_lunar_eclipse_port;th_sage_sea_west_margin_sea;15766;5776;x
aleria;corsica_east_coast;8127;5769;x
vasto;abruzzo_coast;8360;5776;x
poti_caucasus;batumi_bay;9588;5770;x
chidkhu;shleter_cove;2037;5756;x
derbent;caspian_sea11;9893;5764;x
urakawa;shinodai_cape;14188;5773;x
th_sariel_judgment_room;th_mirror_reflection_sea;14891;5774;x
th_vulcano_cloud;th_heaven_dragon_island_sea;15385;5772;x
kayabe;uchiura_bay;14102;5767;x
th_yumemi_magical_arsenal;th_cloud_dragon_swirl;15148;5773;x
bar_cg;bay_kotor;8560;5767;x
civitavecchia;coast_lazio;8233;5764;x
sansevero;tremiti_islands;8390;5760;x
heoryeong;orang_point;13615;5767;x
samani;erimo_cape;14206;5763;x
girona;gulf_of_roses;7838;5762;x
nishi;obana_cape;14065;5767;x
th_sariel_judgment_masion;th_mirror_reflection_sea;14900;5770;x
th_spell_card_analysis_and_replication_lab;th_mountain_summit_sea;15158;5747;x
nauset;cape_cod_bay;4501;5756;x
sinop;central_pontic_coast;9273;5762;x
th_protein_synthesis_of_spell_casting;th_forbidden_zone_sea_west;15077;5769;x
th_jade_village_qingxiao;th_coiled_dragon_main_reef_sea;15289;5770;x
ajaccio;gulf_asinara;8088;5751;x
larino;tremiti_islands;8377;5762;x
buryeong;orang_point;13605;5756;x
ahtopol;stomoplo_bay;8970;5758;x
th_main_engineering_bay;th_forbidden_zone_sea_west;15073;5760;x
th_nutmeg_land;th_rolling_cloud_maelstrom_sea;15425;5752;x
kure_i_mamure;cape_kerempe;9209;5766;x
th_parrot_cloud;th_heaven_dragon_island_sea;15379;5760;x
th_kegare_execution_chamber;th_ice_milk_sea;15608;5760;x
th_port_of_the_slain;th_dream_mirror_whirlpool_sea;15757;5755;x
giwitatigweiasibi;pelee_island;3900;5756;x
ozurgeti;batumi_bay;9591;5760;x
th_inverted_cross_corridor;th_frozen_demon_sea;14840;5756;x
inebolu;cape_kerempe;9231;5763;x
th_hakurei_trial_slope;th_fangzhang_golden_sea_west2;15016;5755;x
th_kenten_kyouko;th_cloud_whale_migration_sea;15232;5755;x
th_jade_city;th_coiled_dragon_main_reef_sea;15270;5761;x
ashtabula;central_erie_basin;4002;5754;x
rotondo;tremiti_islands;8411;5760;x
manfredonia;gulf_manfredonia;8421;5741;x
hiyama_hokkaido;obana_cape;14065;5750;x
th_fallen_temple_vestibule_before;th_magic_waste_world_sea;14920;5750;x
th_inception_mirror_layer;th_forbidden_zone_sea_west;15039;5742;x
th_rain_storm_command;th_cloud_whale_migration_sea;15253;5758;x
th_watari_kairou;th_heaven_dragon_island_sea;15315;5749;x
amasra;west_pontic_coast;9177;5754;x
bracciano;coast_lazio;8246;5753;x
th_prison_repentance_well;th_ice_milk_sea;15625;5753;x
kankakee;south_lake_michigan;3729;5744;x
viana_do_castelo;mouth_douro;7286;5749;x
kameda;tsugaru_strait;14100;5747;x
sartene;gulf_olbia;8121;5747;x
shkoder;drin_bay;8579;5752;x
gerze;cape_sinop;9306;5743;x
batumi;batumi_bay;9589;5745;x
th_unlimited_void;th_heaven_dragon_island_sea;15371;5749;x
niyazabad;caspian_sea11;9911;5746;x
th_insurgent_lunar_rabbits_concentration_camp;th_ice_milk_sea;15634;5750;x
sant_feliu;costa_brava;7820;5743;x
kamiiso;tsugaru_strait;14089;5745;x
lezha;drin_bay;8582;5748;x
th_plain_in_sunshine;th_cloud_whale_migration_sea;15243;5747;x
th_yumemi_okazaki_probability_ship;th_forbidden_zone_sea_west;15086;5739;x
kiyikoy;stomoplo_bay;8971;5744;x
th_civilization_of_magic_library;th_frozen_demon_sea;14849;5738;x
th_sea_of_clouds;th_ice_milk_sea;15647;5743;x
rome;coast_lazio;8255;5742;x
bartin;west_pontic_coast;9158;5744;x
bafra;balik_gulf;9337;5737;x
maumee;pelee_island;3912;5737;x
th_olympos_basin;th_dream_mirror_whirlpool_sea;15746;5744;x
assonet;narragansett_bay;4463;5736;x
gyeongseong;orang_point;13594;5732;x
th_hakurei_back_mountain;th_fangzhang_golden_sea_west2;14993;5744;x
seekonk;narragansett_bay;4444;5731;x
th_lunar_yousei_port;th_purification_strait_sea;15706;5741;x
barcelos;mouth_douro;7289;5733;x
kruje;drin_bay;8579;5738;x
th_clownpiece_cabin;th_purification_strait_sea;15685;5740;x
th_sage_deadbody_locker;th_purification_strait_sea;15728;5737;x
th_sea_of_moisture;th_purification_strait_sea;15668;5740;x
fukushima;tsugaru_strait;14079;5731;x
cuyahoga;pelee_island;3963;5733;x
bonifacio;strait_bonifacio;8114;5729;x
th_unhouten;th_earthquake_omen_sea;15359;5720;x
khupati;batumi_bay;9578;5729;x
th_old_tree_hakurei_shinbaku;th_magic_waste_world_sea;14973;5739;x
th_rainbow_factory;th_cloud_whale_migration_sea;15231;5719;x
eregli;cape_baba;9131;5726;x
th_wonderland_port_forgotten;th_magic_waste_world_sea;14949;5726;x
th_infinite_consciousness_sphere;th_rainbow_cloud_current_sea;15407;5723;x
th_mori_island;th_purification_strait_sea;15678;5726;x
th_lunar_isle_inverted_waterfall;th_purification_strait_sea;15696;5725;x
th_tanguy_island;th_purification_strait_sea;15711;5728;x
th_isle_non_euclidean_garden;th_purification_strait_sea;15732;5732;x
oohl;humboldty_bay;2041;5712;x
pawcatuck;narragansett_bay;4432;5722;x
barcelona;costa_daurada;7790;5721;x
shimokita;tsugaru_strait;14107;5711;x
th_internal_transit_tunnels;th_mountain_summit_sea;15136;5724;x
th_diamond_quarry;th_auspicious_cloud_sea;15305;5728;x
velletri;gulf_terracina;8268;5728;x
th_elis_star_rod_tower;th_magic_waste_world_sea;14929;5727;x
th_docking_port_for_the_impossible;th_forbidden_zone_sea;15107;5725;x
th_hakurei_lake_upper_valley;th_magic_waste_world_sea;14961;5732;x
nantucket;nantucket_shoals;4490;5720;x
sandusky;pelee_island;3929;5729;x
catalca;bosphorus;8990;5727;x
durres;drin_bay;8577;5718;x
th_pixel_ruin_plain;th_hourai_seal_sea;14868;5723;x
terracina;gulf_terracina;8283;5718;x
samsun;balik_gulf;9347;5720;x
th_fairy_el_dorado_island;th_frozen_demon_sea;14787;5717;x
terme;balik_gulf;9370;5723;x
shabran;caspian_sea10;9929;5717;x
th_dream_diary_corridor;th_forbidden_zone_sea_west;15048;5719;x
th_jade_village;th_auspicious_cloud_sea;15287;5723;x
th_nothing_realm;th_rainbow_cloud_current_sea;15388;5719;x
barletta;gulf_manfredonia;8440;5719;x
siccanemos;long_island_sound;4414;5720;x
porto;cape_mondego;7295;5708;x
rize;cape_fener;9539;5705;x
constantinople;gulf_izmit;9007;5698;x
th_lightning_storm_port;th_auspicious_cloud_sea;15266;5714;x
nehantuck;long_island_sound;4398;5718;x
th_ruins_of_vina;th_magic_waste_world_sea;14937;5716;x
th_makai_bat_roost;th_hourai_seal_sea;14886;5712;x
quinnipiac;long_island_sound;4378;5716;x
terranova_pausania;gulf_olbia;8128;5703;x
gaeta;gulf_napoli;8318;5713;x
sitges;costa_daurada;7768;5712;x
inaka;tsugaru_strait;14094;5703;x
uskudar;gulf_izmit;9016;5696;x
rippowam;long_island_sound;4359;5709;x
atpazari;cape_pazarbasi;9074;5713;x
th_illusionary_ruins_outdoor;th_forbidden_zone_sea;15060;5692;x
akcasehir;cape_baba;9109;5708;x
bari;gulf_manfredonia;8458;5711;x
myeongcheon;musu_point;13598;5698;x
th_makai_rainbow_dandelion_meadow;th_frozen_demon_sea;14791;5700;x
silli;cape_pazarbasi;9052;5711;x
montauk;long_island_sound;4397;5703;x
tempiopausania;strait_bonifacio;8100;5708;x
unye;cape_yasurt;9396;5707;x
kamikita;ashige_cape;14128;5694;x
th_false_sun;th_magic_waste_world_sea;14943;5710;x
th_dali_island;th_purification_strait_sea;15710;5698;x
tarragona;costa_daurada;7747;5705;x
bayramlu;cape_yasurt;9415;5703;x
shirvan;caspian_sea9;9947;5689;x
sassari;gulf_asinara;8069;5700;x
gorele;east_pontic_coast;9473;5706;x
trebizond;cape_fener;9499;5703;x
th_silent_bell_tower;th_mountain_summit_sea;15178;5703;x
monopoli;penne_cape;8481;5697;x
kavaje;drin_bay;8575;5700;x
silivri;gulf_izmit;8980;5703;x
dalinghe;liaodong_bay;13232;5696;x
caserta;gulf_napoli;8325;5701;x
manhattan;raritan_bay;4335;5695;x
corlu;dardanelles;8955;5700;x
giresun;east_pontic_coast;9448;5699;x
th_astral_approach_konngara_dojo;th_forbidden_zone_sea;15101;5699;x
th_dream_realm_gaze_dome;th_auspicious_cloud_sea;15294;5688;x
th_dreamrealm_reima_den_main_hall;th_auspicious_cloud_sea;15313;5703;x
th_cult_library;th_earthquake_omen_sea;15331;5686;x
feira;cape_mondego;7295;5693;x
xanthia;thracian_sea;8827;5695;x
surmene;cape_fener;9519;5697;x
unquachog;long_island_coast_us;4369;5680;x
naples;gulf_napoli;8337;5686;x
komotini;thracian_sea;8848;5693;x
th_makai_city_mirage;th_hourai_seal_sea;14885;5690;x
rodoscuk;dardanelles;8937;5684;x
massapequa;raritan_bay;4333;5674;x
castelsardo;gulf_asinara;8090;5697;x
ballsh;drin_bay;8573;5691;x
kavala;strymonian_gulf;8798;5688;x
th_makai_fairy_garden;th_create_world_sea3;14747;5679;x
jaroujiji;humboldty_bay;2037;5687;x
tortosa;ebro_delta;7727;5678;x
jinzhou_liaoyang;liaodong_bay;13203;5690;x
th_masterless_buddha_altar;th_mountain_summit_sea;15151;5688;x
posada;gulf_orosei;8139;5674;x
traianopolis;gulf_saros;8874;5688;x
th_phantom_butterfly_valley;th_hourai_seal_sea;14823;5671;x
th_reversed_border;th_rainbow_cloud_current_sea;15460;5685;x
brindisi;penne_cape;8503;5683;x
thasos;strymonian_gulf;8807;5681;x
rentina;strymonian_gulf;8774;5684;x
izmit;gulf_izmit;9040;5685;x
gilju;yongdae_cape;13573;5679;x
hanawa;henashi_cape;14057;5678;x
th_inverted_murasaki_bamboo;th_forbidden_zone_sea;15053;5679;x
th_sin_flame_furnace;th_forbidden_zone_sea;15081;5684;x
th_silent_sanctuary_main;th_mountain_summit_sea;15141;5688;x
th_gengetsu_solo_stage;th_rainbow_cloud_current_sea;15421;5678;x
esgueira;cape_mondego;7290;5673;x
enez;gulf_saros;8879;5675;x
iznik;gulf_izmit;9017;5680;x
hackensack;raritan_bay;4321;5680;x
th_dimensional_seawall;th_hourai_seal_sea;14865;5667;x
alghero;bay_alghero;8067;5672;x
salerno;gulf_napoli;8360;5676;x
polygyros;singitic_gulf;8779;5650;x
bandirma;dardanelles;8951;5670;x
haizhou_liaoyang;liaodong_bay;13252;5673;x
th_child_attendant_cell;th_hakurei_border_cloud_sea;15172;5665;x
raritan;raritan_bay;4313;5675;x
gallipoli;gulf_saros;8897;5667;x
ningyuan_jinzhou;diao_longjujia_cape;13184;5668;x
avlonya;strait_otranto;8576;5662;x
thessaloniki;thermaic_gulf;8731;5666;x
kesan;gulf_saros;8900;5674;x
th_dreamland_kaian_path;th_chalk_sea_location;15524;5676;x
baku;caspian_sea9;9973;5672;x
mattole;lost_coast;2031;5659;x
nukanobu;ashige_cape;14137;5672;x
th_time_tuning_chamber;th_create_world_sea3;14753;5674;x
th_former_hell_gate;th_forbidden_zone_sea;15067;5668;x
campagna;gulf_napoli;8370;5669;x
lecce;strait_otranto;8530;5658;x
dancheon;yongdae_cape;13565;5667;x
th_doll_heart_tower;th_elemental_boiling_sea;14671;5664;x
th_wonderland_travel_agency;th_hourai_seal_sea;14831;5664;x
th_gemstone_terrace_dreamland;th_earthquake_omen_sea;15405;5666;x
th_demon_twins_cloister;th_rainbow_cloud_current_sea;15438;5670;x
peniscola;ebro_delta;7711;5662;x
th_sky_abyss_depths;th_chalk_sea_location;15478;5665;x
martinafr;gulf_taranto;8465;5667;x
taranto;gulf_taranto;8482;5659;x
hatera;thermaic_gulf;8721;5652;x
imbros;cape_lecton;8876;5634;x
th_makai_silent_chapel;th_create_world_sea3;14746;5667;x
th_murasakino_location;th_forbidden_zone_sea;15050;5662;x
th_mima_throne_room;th_earthquake_omen_sea;15343;5665;x
biga;dardanelles;8936;5663;x
kuji;kitayama_cape;14148;5652;x
piscopeek;raritan_bay;4312;5668;x
navisink;barnegat_bay;4318;5633;x
orosei;gulf_orosei;8135;5660;x
gaizhou;liaodong_bay;13249;5658;x
th_dream_teardrop_spring;th_earthquake_omen_sea;15390;5659;x
th_dream_world_inverted_spire;th_rainbow_cloud_current_sea;15451;5665;x
th_sunbathing_beach_main;th_dream_tranquil_sea;15546;5668;x
th_sunlight_harbor;th_dream_tranquil_sea;15566;5660;x
mount_athos;singitic_gulf;8793;5651;x
lapseki;dardanelles;8908;5663;x
th_witch_pact_chamber;th_nirvana_west_coast_sea;15281;5656;x
hiyama;henashi_cape;14062;5656;x
th_deep_dream_chamber;th_chalk_sea_location;15512;5663;x
th_sunbathing_beach_nectar_spring;th_dream_tranquil_sea;15588;5658;x
matera;gulf_taranto;8457;5657;x
bursa;gulf_izmit;9002;5664;x
th_dreamscape_hall;th_chalk_sea_location;15465;5662;x
figueira;cape_mondego;7286;5654;x
bosa;gulf_oristano;8076;5651;x
vallo;gulf_policastro;8384;5644;x
bukcheong;yongdae_cape;13549;5654;x
th_makai_gleam_quay;th_create_world_sea3;14716;5654;x
th_brocade_bazaar;th_create_world_sea3;14732;5659;x
th_mithril_roadstead;th_create_world_sea3;14739;5660;x
th_makai_frozen_world_west;th_hourai_seal_sea;14813;5658;x
th_dream_world_sisters_boudoir;th_chalk_sea_location;15477;5659;x
th_dream_dweller_market;th_chalk_sea_location;15504;5662;x
gonen;dardanelles;8948;5660;x
th_old_higanbana_cliff;th_forbidden_zone_sea;15055;5652;x
th_dream_world_mirror_hall;th_chalk_sea_location;15490;5659;x
th_astral_approach_main;th_hakurei_border_cloud_sea;15142;5656;x
gallipoliita;gulf_taranto;8509;5646;x
th_apprentice_home;th_earthquake_omen_sea;15344;5652;x
th_red_queen_maze;th_create_world_sea3;14702;5652;x
th_makai_forbidden_magic;th_hourai_seal_sea;14817;5653;x
th_old_shigan_port;th_forbidden_zone_sea;15043;5648;x
kassandreia;gulf_kassandreia;8764;5640;x
maraza;caspian_sea7;9949;5651;x
qiantun;qinhuangdao_bay;13154;5642;x
th_silent_sanctuary_vestibule;th_hakurei_border_cloud_sea;15137;5650;x
ares_del_maestre;ebro_delta;7701;5648;x
tortoli;gulf_orosei;8136;5643;x
santarcangelo;gulf_taranto;8453;5648;x
canakkale;dardanelles;8890;5643;x
th_border_harmony_chamber;th_nirvana_west_coast_sea;15277;5641;x
th_makai_harbor;th_hourai_seal_sea;14847;5648;x
th_phantom_morning_mist_plain;th_earthquake_omen_sea;15374;5649;x
th_sunbathing_beach_parasol;th_sea_of_dreams_and_moon_sea;15610;5640;x
th_nameless_lake_shore;th_earthquake_omen_sea;15350;5644;x
qobustan;caspian_sea7;9943;5636;x
th_old_hig_port;th_hakurei_border_cloud_sea;15143;5644;x
th_otherworld_souvenir_market;th_hourai_seal_sea;14856;5647;x
th_time_rot_rain_shrine;th_hakurei_border_cloud_sea;15213;5638;x
cassano;gulf_taranto;8448;5633;x
fuzhou_liaoyang;taiping_bay;13222;5629;x
th_alice_old_room;th_elemental_boiling_sea2;14652;5642;x
ciudadela_de_menorca;favaritx_cape;7878;5629;x
oristano;gulf_oristano;8078;5631;x
akita;nyuudou_cape;14058;5630;x
th_nameless_jizo_shrine;th_hakurei_border_cloud_sea;15186;5634;x
castellon_de_la_plana;ebro_delta;7693;5636;x
salacon;gulf_policastro;8400;5641;x
lagonegro;gulf_policastro;8406;5637;x
hamheung;yanghung_bay;13510;5630;x
kitahei;kitayama_cape;14153;5634;x
th_doll_tea_party_garden;th_elemental_boiling_sea2;14632;5633;x
th_spell_weaving_atelier;th_nirvana_west_coast_sea;15265;5634;x
argyrokastro;coast_corfu;8598;5634;x
lemnos;cape_lecton;8843;5624;x
th_lotus_shadow_beach;th_earthquake_omen_sea;15363;5639;x
th_impure_flame_shrine;th_hakurei_border_cloud_sea;15155;5639;x
th_flame_festering_lake;th_hakurei_border_cloud_sea;15166;5639;x
funing;qinhuangdao_bay;13133;5629;x
sinkyone;mendocino_cape;2052;5629;x
pollensa;bay_palma;7803;5618;x
stomio;gulf_kassandreia;8735;5617;x
leiria;berlengas_islands;7280;5628;x
scalea;gulf_policastro;8410;5621;x
manacor;mallorca_coast;7842;5604;x
uiju;sohan_bay;13363;5612;x
th_dream_realm_gate;th_nirvana_west_coast_sea;15235;5629;x
th_sunset_plain_watchtower;th_sea_of_dreams_and_moon_sea;15625;5625;x
corfu;coast_corfu;8596;5618;x
ayvacik;cape_lecton;8881;5618;x
dandong;yalu_river_mouth;13330;5626;x
butrint;coast_corfu;8605;5617;x
th_star_moon_prophecy_tower;th_nirvana_west_coast_sea;15247;5626;x
shackamaxon;delaware_bay;4259;5626;x
tetamekanch;delaware_bay;4254;5620;x
valencia;gulf_of_valencia;7680;5612;x
minguannan;delaware_bay;4252;5610;x
zhuanghe;waichangshan_islands;13283;5612;x
terralba;gulf_oristano;8075;5615;x
santa_cruz_flores;flores_island;6273;5610;x
north_jeongju;yanghung_bay;13497;5617;x
th_spellbook_bazaar;th_nirvana_west_coast_sea;15221;5624;x
tlokyhan;mendocino_cape;2057;5616;x
rossano;gulf_taranto;8456;5615;x
mahmudabad;caspian_sea7;9937;5610;x
alcobaca;berlengas_islands;7272;5607;x
muravera;ferrato_cape;8131;5602;x
changli;qinhuangdao_bay;13123;5616;x
seonju;sohan_bay;13379;5612;x
toshima;nyuudou_cape;14064;5616;x
shimohei;ookama_cape;14157;5608;x
th_stagnant_melody_bay;th_lightdark_divide_sea;14607;5603;x
th_makai_wonderland;th_lightdark_divide_sea;14619;5611;x
th_sunset_port;th_sleep_under_moon_sea;15646;5604;x
edremit;edremit_gulf;8910;5602;x
jeongju_jeongju;sohan_bay;13393;5607;x
yuri;serida_cape;14057;5591;x
wicontiss;upper_chesapeake_bay;4228;5606;x
cohansey;delaware_bay;4261;5596;x
amintonck;cape_may;4305;5605;x
palma;mallorca_coast;7826;5588;x
hwaju;yanghung_bay;13499;5601;x
paola;gulf_policastro;8421;5595;x
demetrias;euboic_sea;8740;5586;x
kulanapan;mendocino_cape;2055;5600;x
parga;ambracian_gulf;8616;5594;x
sukju;sohan_bay;13396;5603;x
cotrone;gulf_squillace;8472;5582;x
matapeake;upper_chesapeake_bay;4222;5582;x
villa_di_chiesa;teulada_cape;8073;5597;x
jinzhou_dalian;pulandian_bay;13217;5579;x
kechemeche;cape_may;4296;5591;x
sporades;gulf_kymi;8778;5583;x
th_fallen_angel_shackle_platform;th_moriya_front_sea;14607;5569;x
laoting;daqing_estuary;13109;5588;x
molyvos;edremit_gulf;8887;5601;x
kamihei;ookama_cape;14153;5593;x
patapsco;upper_chesapeake_bay;4212;5592;x
salyan;caspian_sea6;9930;5585;x
goju;yanghung_bay;13493;5596;x
tappahanna;delaware_bay;4260;5584;x
gandia;gulf_of_valencia;7683;5581;x
th_sunset_harbor_observatory;th_sleep_under_moon_sea;15664;5587;x
munju;yanghung_bay;13490;5591;x
torres_vedras;bay_setubal;7258;5564;x
jeungsan;sohan_bay;13394;5587;x
th_flower_field_fairy_stands;th_sleep_under_moon_sea;15678;5577;x
tratalias;teulada_cape;8072;5583;x
mitilene;edremit_gulf;8901;5585;x
nentego;upper_chesapeake_bay;4211;5574;x
cagliari;gulf_cagliari;8113;5588;x
preveza;ambracian_gulf;8633;5579;x
lutai;northern_bohai_bay;13058;5587;x
shicheng_jizhou;northern_bohai_bay;13067;5587;x
baciravan;caspian_sea6;9921;5581;x
macheng_luanzhou;daqing_estuary;13085;5584;x
kesen;oosu_cape;14144;5576;x
bergama;edremit_gulf;8912;5580;x
deungju;yanghung_bay;13499;5587;x
kashaya;marin_coast;2078;5549;x
dagu;northern_bohai_bay;13050;5573;x
tongcheon;changdae_cape;13518;5569;x
ibiza;eivissa_coast;7757;5561;x
angra;sao_jorge_island;6425;5552;x
yuza;serida_cape;14055;5578;x
oreos;euboic_sea;8739;5572;x
nicastro;eolie_islands;8429;5566;x
arta;ambracian_gulf;8651;5576;x
zetounion;euboic_sea;8730;5568;x
samhwa;taedong_river_mouth;13386;5566;x
kleisoura;gulf_kymi;8764;5565;x
vonitsa;ambracian_gulf;8642;5573;x
lankaran;caspian_sea6;9916;5564;x
motoyoshi;oosu_cape;14136;5564;x
tagawa;serida_cape;14047;5560;x
catanzaro;gulf_squillace;8451;5565;x
th_rainbow_silence_shoal;th_moriya_front_sea;14619;5554;x
assawoman;delaware_bay;4274;5560;x
denia;costa_blanca;7689;5548;x
foca;gulf_smyrna;8914;5562;x
lisbon;bay_setubal;7278;5560;x
leukas;ambracian_gulf;8628;5562;x
bodonitsa;euboic_sea;8728;5565;x
